Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate 2001 Australian Standard Population  (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)",Column I,ICD-10 codes,Column K,Column L
Incidence,Melanoma of the skin,1982,Females,New South Wales,651,26.2,28.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Victoria,365,19.9,21.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Queensland,427,40.8,43.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Western Australia,173,30.6,33.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,South Australia,127,21.1,22.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Tasmania,38,20.1,22.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Females,Australia,1802,26.3,28.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,New South Wales,650,28.9,33.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Victoria,279,16.8,19.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Queensland,472,49.3,56.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Western Australia,164,31.1,35.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,South Australia,121,21.4,23.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Tasmania,30,17.6,19.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Males,Australia,1736,27.9,31.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,New South Wales,1301,27,30,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Victoria,644,18.4,20.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Queensland,899,44.2,49.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Western Australia,337,30.6,34.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,South Australia,248,21.2,22.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Tasmania,68,18.8,21.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1982,Persons,Australia,3538,26.7,29.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1983,Females,New South Wales,730,29.3,31.3,NULL,C43,NULL,NULL
