Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1971,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1971,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1971,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1971,Females,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1971,Females,20–24,4,0.7,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1971,Females,25–29,7,1.5,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1971,Females,30–34,6,1.5,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1971,Females,35–39,9,2.5,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1971,Females,40–44,12,3.1,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1971,Females,45–49,16,4.1,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1971,Females,50–54,21,6.2,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1971,Females,55–59,13,4.2,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1971,Females,60–64,16,6,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1971,Females,65–69,11,5.3,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1971,Females,70–74,9,5.2,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1971,Females,75–79,9,7.2,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1971,Females,80–84,10,12.8,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1971,Females,85–89,5,14.8,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1971,Females,90+,3,24.8,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1971,Females,All ages combined,152,2.3,2.9,3.3,2.3,2.1,NULL,C43,20
Actual,Melanoma of the skin,1971,Males,00–04,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1971,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1971,Males,10–14,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1971,Males,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1971,Males,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1971,Males,25–29,8,1.6,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1971,Males,30–34,17,4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1971,Males,35–39,14,3.6,NULL,NULL,NULL,NULL,NULL,C43,8
